time,c_left,c_top
486,73.484559079104,-15.011147433975
487,73.498070632331,-15.026592946762
488,73.511252140415,-15.042250959717
489,73.524111840048,-15.058121830284
490,73.536657636287,-15.074205403682
491,73.548897117588,-15.090501050136
492,73.560837570077,-15.107007703625
493,73.57248599108,-15.123723901413
494,73.583849101961,-15.140647823638
495,73.594933360327,-15.157777332386
496,73.605744971625,-15.175110009713
497,73.616289900192,-15.192643194212
498,73.626573879814,-15.210374015778
499,73.636602423826,-15.22829942835
500,73.646380834812,-15.246416240479
501,73.655914213957,-15.264721143629
502,73.665207470085,-15.283210738218
503,73.674265328428,-15.301881557424
504,73.683092339168,-15.320730088857
505,73.691692885793,-15.339752794202
506,73.700071193274,-15.358946126981
507,73.708231336118,-15.378306548583
508,73.716177246301,-15.397830542705
509,73.723912721094,-15.417514628375
510,73.731441430806,-15.437355371678
511,73.738766926439,-15.457349396322
512,73.745892647261,-15.477493393141
513,73.752821928293,-15.49778412864
514,73.759558007691,-15.518218452634
515,73.766104034038,-15.538793305056
516,73.772463073499,-15.559505721951
517,73.778638116841,-15.580352840696
518,73.784632086285,-15.601331904455
519,73.790447842182,-15.62244026589
520,73.796088189464,-15.643675390125
521,73.801555883865,-15.665034856986
522,73.806853637874,-15.68651636254
523,73.811984126393,-15.708117719936
524,73.816949992077,-15.729836859621
525,73.821753850326,-15.751671828936
526,73.826398293904,-15.773620791188
527,73.830885897178,-15.79568202424
528,73.835219219925,-15.817853918704
529,73.839400810736,-15.840134975828
530,73.843433209964,-15.862523805151
531,73.847318952235,-15.88501912203
532,73.851060568512,-15.907619745111
533,73.854660587705,-15.930324593851
534,73.858121537842,-15.953132686149
535,73.861445946815,-15.976043136159
536,73.864636342695,-15.999055152355
537,73.867695253655,-16.022168035881
538,73.870625207522,-16.045381179234
539,73.873428730968,-16.068694065282
540,73.876108348391,-16.092106266651
541,73.878666580523,-16.115617445458
542,73.881105942793,-16.139227353382
543,73.883428943518,-16.162935832055
544,73.885638081946,-16.186742813734
545,73.887735846252,-16.210648322205
546,73.889724711501,-16.234652473885
547,73.891607137681,-16.258755479054
548,73.893385567838,-16.282957643156
549,73.895062426386,-16.307259368101
550,73.896640117618,-16.331661153488
551,73.898121024461,-16.356163597671
552,73.899507507495,-16.38076739858
553,73.900801904216,-16.405473354195
554,73.90200652855,-16.430282362592
555,73.903123670547,-16.455195421447
556,73.904155596235,-16.480213626913
557,73.905104547528,-16.505338171768
558,73.905972742109,-16.530570342764
559,73.906762373173,-16.555911517083
560,73.907475608902,-16.581363157864
561,73.908114591489,-16.606926808763
562,73.908681435532,-16.632604087524
563,73.909178225519,-16.658396678598
564,73.90960701206,-16.684306324835
565,73.90996980634,-16.710334818355
566,73.910268572098,-16.736483990673
567,73.910505214067,-16.762755702241
568,73.910681561651,-16.789151831538
569,73.910799347367,-16.815674263884
570,73.91086018396,-16.842324880172
571,73.910865555639,-16.86910554566
572,73.910816857043,-16.896018099027
573,73.910715524176,-16.923064341856
574,73.910563279286,-16.950246028786
575,73.910362445087,-16.977564858689
576,73.910116204618,-17.005022467414
577,73.909828655519,-17.032620422863
578,73.909504572182,-17.060360223248
579,73.909148917623,-17.088243299168
580,73.908766258838,-17.116271019682
581,73.908360268604,-17.144444701771
582,73.907933438574,-17.172765621895
583,73.907487031018,-17.201235027899
584,73.907021216597,-17.229854149498
585,73.906535311697,-17.258624205925
586,73.906028036963,-17.287546409951
587,73.905497747419,-17.316621968047
588,73.904942613887,-17.345852076989
589,73.904360755188,-17.375237917483
590,73.903750329612,-17.404780645517
591,73.903109595847,-17.434481382157
592,73.902436951836,-17.464341202405
593,73.901730957617,-17.494361123607
594,73.900990346219,-17.524542093756
595,73.900214025462,-17.55488497989
596,73.899401072843,-17.585390556672
597,73.898550725301,-17.616059495163
598,73.897662365425,-17.646892351733
599,73.896735505476,-17.677889557093
600,73.895769770355,-17.709051405429
601,73.894764880435,-17.740378043651
602,73.893720634964,-17.77186946087
603,73.892636896539,-17.803525478225
604,73.891513576965,-17.835345739241
605,73.890350624703,-17.867329700929
606,73.889148013949,-17.899476625862
607,73.887905735349,-17.931785575435
608,73.886623788263,-17.964255404534
609,73.885302174469,-17.996884757768
610,73.883940893165,-18.029672067444
611,73.882539937126,-18.062615553334
612,73.881099289859,-18.095713224341
613,73.879618923629,-18.128962882015
614,73.878098798194,-18.162362125928
615,73.876538860155,-18.195908360801
616,73.874939042784,-18.229598805272
617,73.873299266249,-18.263430502183
618,73.871619438147,-18.297400330189
619,73.869899454265,-18.331505016543
620,73.868139199513,-18.365741150834
621,73.866338548982,-18.400105199506
622,73.864497369064,-18.434593520954
623,73.86261551863,-18.469202380996
624,73.860692850206,-18.50392796856
625,73.858729211141,-18.538766411382
626,73.856724444757,-18.573713791588
627,73.854678391446,-18.608766160983
628,73.852590889726,-18.64391955593
629,73.850461777238,-18.679170011701
630,73.848290891683,-18.714513576193
631,73.846078071701,-18.749946322933
632,73.843823157689,-18.785464363292
633,73.841525992559,-18.821063857869
634,73.839186422444,-18.856741026991
635,73.836804297349,-18.892492160326
636,73.834379471759,-18.928313625583
637,73.831911805201,-18.964201876317
638,73.829401162774,-19.000153458857
639,73.82684741564,-19.036165018384
640,73.824250441505,-19.072233304199
641,73.82161012506,-19.108355174244
642,73.818926358426,-19.144527598927
643,73.816199041576,-19.180747664315
644,73.813428082767,-19.217012574778
645,73.810613398954,-19.253319655147
646,73.807754916234,-19.289666352461
647,73.804852570274,-19.326050237394
648,73.801906306774,-19.362469005406
649,73.798916081937,-19.398920477705
650,73.795881862958,-19.435402602073
651,73.792803628546,-19.471913453603
652,73.789681369464,-19.508451235386
653,73.786515089103,-19.545014279188
654,73.783304804084,-19.581601046123
655,73.780050544892,-19.618210127332
656,73.776752356544,-19.654840244661
657,73.773410299288,-19.691490251321
658,73.77002444933,-19.728159132507
659,73.766594899598,-19.764846005917
660,73.763121760521,-19.801550122159
661,73.759605160841,-19.838270864962
662,73.756045248431,-19.875007751155
663,73.75244219113,-19.91176043035
664,73.748796177574,-19.948528684271
665,73.74510741802,-19.985312425669
666,73.741376145153,-20.022111696785
667,73.737602614858,-20.058926667295
668,73.733787106948,-20.095757631721
669,73.729929925841,-20.132605006256
670,73.726031401156,-20.169469325016
671,73.722091888237,-20.206351235682
672,73.718111768568,-20.243251494567
673,73.714091450092,-20.280170961119
674,73.710031367399,-20.317110591904
675,73.705931981803,-20.354071434122
676,73.701793781276,-20.391054618719
677,73.697617280263,-20.428061353189
678,73.693403019358,-20.465092914146
679,73.689151564865,-20.502150639778
680,73.684863508239,-20.539235922285
681,73.680539465433,-20.576350200418
